,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
564,A1 LM,CRAWFORD,3017.5,67.238,0.807,1.7,7.13,4.173,2,0.142,4
565,A1 LM,CRAWFORD,3018,74.796,0.89,2.905,7.335,4.19,2,0.132,4
566,A1 LM,CRAWFORD,3018.5,75.743,0.925,3.055,7.765,4.302,2,0.123,4
567,A1 LM,CRAWFORD,3019,70.991,0.928,2.325,7.785,4.444,2,0.113,4
568,A1 LM,CRAWFORD,3019.5,57.348,0.929,1.355,7.395,4.492,2,0.104,6
569,A1 LM,CRAWFORD,3020,46.213,0.929,0.67,7.43,4.385,2,0.094,5
570,A1 LM,CRAWFORD,3020.5,42.116,0.926,0.19,7.17,4.201,2,0.085,5
571,A1 LM,CRAWFORD,3021,44.925,0.918,-0.19,6.69,4.093,2,0.075,5
572,A1 LM,CRAWFORD,3021.5,55.903,0.912,0.07,5.72,4.034,2,0.066,6
573,A1 LM,CRAWFORD,3022,66.196,0.906,0.495,5.375,3.958,2,0.057,6
574,A1 LM,CRAWFORD,3022.5,73.526,0.894,1.44,5.26,3.82,2,0.047,6
575,B1 SH,CRAWFORD,3032,72.392,0.709,-0.74,18.41,2.629,1,0.125,2
576,B1 SH,CRAWFORD,3032.5,69.928,0.792,-0.69,19.32,2.616,1,0.063,2
577,B1 LM,CRAWFORD,3033,64.72,0.849,-0.96,16.33,2.914,2,1,2
578,B1 LM,CRAWFORD,3033.5,52.445,0.892,0.91,11.35,3.292,2,0.977,5
579,B1 LM,CRAWFORD,3034,43.362,0.93,-0.02,6.92,3.571,2,0.955,5
580,B1 LM,CRAWFORD,3034.5,42.064,0.974,0.015,5.495,3.435,2,0.909,6
581,B1 LM,CRAWFORD,3035,45.642,0.956,0.005,5.475,3.375,2,0.886,6
582,B1 LM,CRAWFORD,3035.5,53.266,0.932,-0.105,5.545,3.299,2,0.864,6
583,B1 LM,CRAWFORD,3036,59.043,0.894,0.17,6.99,3.114,2,0.841,6
584,B1 LM,CRAWFORD,3036.5,62.331,0.834,-0.245,9.835,2.813,2,0.818,1
585,B1 LM,CRAWFORD,3037,60.946,0.884,-1.69,16.08,2.745,2,0.795,2
586,B1 LM,CRAWFORD,3037.5,53.914,0.918,-0.72,19.54,3.152,2,0.773,8
587,B1 LM,CRAWFORD,3038,45.287,0.922,-0.86,18.44,3.962,2,0.75,9
588,B1 LM,CRAWFORD,3038.5,30.049,0.925,0.445,13.565,4.571,2,0.727,9
589,B1 LM,CRAWFORD,3039,23.017,0.947,0.54,9.59,4.806,2,0.705,8
590,B1 LM,CRAWFORD,3039.5,21.228,0.973,-0.03,7.57,4.824,2,0.682,8
591,B1 LM,CRAWFORD,3040,20.109,0.985,0.225,6.725,4.81,2,0.659,8
592,B1 LM,CRAWFORD,3040.5,19.256,0.995,0.415,6.505,4.859,2,0.636,8
593,B1 LM,CRAWFORD,3041,18.38,0.999,0.44,6.29,4.892,2,0.614,8
594,B1 LM,CRAWFORD,3041.5,17.275,0.987,0.185,6.075,4.91,2,0.591,8
595,B1 LM,CRAWFORD,3042,16.39,0.975,0.015,5.815,4.88,2,0.568,8
596,B1 LM,CRAWFORD,3042.5,16.197,0.963,-0.205,5.445,4.834,2,0.545,8
597,B1 LM,CRAWFORD,3043,16.469,0.957,-0.225,5.335,4.76,2,0.523,8
598,B1 LM,CRAWFORD,3043.5,20.38,0.973,-0.295,5.255,4.669,2,0.5,8
599,B1 LM,CRAWFORD,3044,31.86,1.005,-0.185,5.045,4.547,2,0.477,6
600,B1 LM,CRAWFORD,3044.5,39.608,1.039,0.44,5.16,4.517,2,0.455,6
601,B1 LM,CRAWFORD,3045,43.291,1.064,0.96,5.09,4.488,2,0.432,6
602,B1 LM,CRAWFORD,3045.5,44.001,1.089,1.295,4.875,4.396,2,0.409,6
603,B1 LM,CRAWFORD,3046,38.574,1.112,0.7,4.09,4.275,2,0.386,6
604,B1 LM,CRAWFORD,3046.5,35.19,1.128,0.195,3.575,4.245,2,0.364,6
605,B1 LM,CRAWFORD,3047,32.946,1.131,-0.215,3.205,4.434,2,0.341,6
606,B1 LM,CRAWFORD,3047.5,31.613,1.128,-0.095,3.545,4.405,2,0.318,6
607,B1 LM,CRAWFORD,3048,32.113,1.092,-0.005,4.715,4.329,2,0.295,6
608,B1 LM,CRAWFORD,3048.5,32.368,1.052,0.29,5.42,4.285,2,0.273,6
609,B1 LM,CRAWFORD,3049,31.507,0.978,0.405,5.865,4.224,2,0.25,6
610,B1 LM,CRAWFORD,3049.5,30.849,0.88,0.445,6.595,4.04,2,0.227,6
611,B1 LM,CRAWFORD,3050,29.953,0.772,0.91,7.82,3.451,2,0.205,6
612,B1 LM,CRAWFORD,3050.5,28.876,0.723,1.24,9.64,3.141,2,0.182,6
613,B1 LM,CRAWFORD,3051,28.228,0.705,1.21,10.47,3.206,2,0.159,6
614,B1 LM,CRAWFORD,3051.5,28.263,0.693,1.005,10.355,3.38,2,0.136,6
615,B1 LM,CRAWFORD,3052,28.754,0.693,0.47,9.35,3.646,2,0.114,6
616,B1 LM,CRAWFORD,3052.5,34.26,0.694,0.34,7.94,3.974,2,0.091,6
617,B1 LM,CRAWFORD,3053,45.01,0.694,0.485,6.185,4.241,2,0.068,6
618,B1 LM,CRAWFORD,3053.5,55.98,0.707,0.665,5.945,4.093,2,0.045,6
619,B1 LM,CRAWFORD,3054,67.146,0.717,0.965,6.695,3.67,2,0.023,2
620,B2 SH,CRAWFORD,3054.5,80,0.708,1.965,8.815,3.361,1,1,2
621,B2 SH,CRAWFORD,3055,85.05,0.69,3.215,10.515,3.16,1,0.95,2
622,B2 SH,CRAWFORD,3055.5,83.946,0.659,3.965,11.115,3.178,1,0.9,4
623,B2 SH,CRAWFORD,3056,80.973,0.623,4.61,10.99,3.211,1,0.85,2
624,B2 SH,CRAWFORD,3056.5,78.782,0.592,4.845,10.905,3.213,1,0.8,2
625,B2 SH,CRAWFORD,3057,76.082,0.574,4.82,10.73,3.231,1,0.75,2
626,B2 SH,CRAWFORD,3057.5,72.925,0.562,4.535,10.405,3.217,1,0.7,2
627,B2 SH,CRAWFORD,3058,72.049,0.55,4.24,10.55,3.187,1,0.65,2
628,B2 SH,CRAWFORD,3058.5,71.391,0.535,4.115,11.005,3.128,1,0.6,2
629,B2 SH,CRAWFORD,3059,70.751,0.527,4.055,11.765,3.036,1,0.55,2
630,B2 SH,CRAWFORD,3059.5,71.261,0.533,4.235,12.565,3.007,1,0.5,2
631,B2 SH,CRAWFORD,3060,73.11,0.518,4.44,12.8,2.978,1,0.45,2
632,B2 SH,CRAWFORD,3060.5,75.425,0.491,3.815,12.085,2.903,1,0.4,2
633,B2 SH,CRAWFORD,3061,76.828,0.47,3.265,11.525,2.687,1,0.35,2
634,B2 SH,CRAWFORD,3061.5,75.04,0.458,3.16,11.69,2.58,1,0.3,2
635,B2 SH,CRAWFORD,3062,70.288,0.449,3.695,12.535,2.534,1,0.25,2
636,B2 LM,CRAWFORD,3062.5,66.266,0.443,4.505,13.995,2.553,1,0.2,1
637,B2 LM,CRAWFORD,3063,60.79,0.441,6.07,16.34,2.679,1,0.15,4
638,B2 LM,CRAWFORD,3063.5,54.67,0.444,6.25,16.74,3.35,1,0.1,7
639,B2 LM,CRAWFORD,3064,48.094,0.445,5.995,16.615,3.865,1,0.05,8
640,B2 LM,CRAWFORD,3064.5,41.062,0.445,3.425,13.955,4.24,2,1,8
641,B2 LM,CRAWFORD,3065,39.046,0.455,1.725,12.915,4.507,2,0.964,8
642,B2 LM,CRAWFORD,3065.5,38.169,0.458,1.1,12.79,4.354,2,0.929,8
643,B2 LM,CRAWFORD,3066,40.493,0.465,0.895,13.365,4.293,2,0.893,8
644,B2 LM,CRAWFORD,3066.5,43.948,0.459,0.68,13.98,4.248,2,0.857,8
645,B2 LM,CRAWFORD,3067,46.491,0.423,0.57,14.45,4.266,2,0.821,9
646,B2 LM,CRAWFORD,3067.5,47.21,0.392,0.565,14.945,4.331,2,0.786,9
647,B2 LM,CRAWFORD,3068,46.789,0.346,0.765,15.325,4.395,2,0.75,9
648,B2 LM,CRAWFORD,3068.5,45.912,0.325,0.985,15.625,4.397,2,0.714,9
649,B2 LM,CRAWFORD,3069,45.704,0.304,1.205,15.925,4.383,2,0.679,9
650,B2 LM,CRAWFORD,3069.5,45.527,0.295,1.27,15.89,4.276,2,0.643,8
651,B2 LM,CRAWFORD,3070,44.887,0.289,1.155,15.315,4.123,2,0.607,8
652,B2 LM,CRAWFORD,3070.5,44.23,0.29,0.815,14.205,3.95,2,0.571,8
653,B2 LM,CRAWFORD,3071,44.274,0.281,0.55,12.84,3.785,2,0.536,6
654,B2 LM,CRAWFORD,3071.5,45.221,0.247,0.545,11.605,3.647,2,0.5,6
655,B2 LM,CRAWFORD,3072,46.396,0.167,1.685,11.385,3.431,2,0.464,1
656,B2 LM,CRAWFORD,3072.5,46.888,0.118,2.92,12.76,3.2,2,0.429,1
657,B2 LM,CRAWFORD,3073,46.475,0.069,4.4,16.76,2.968,2,0.393,1
658,B2 LM,CRAWFORD,3073.5,46.738,0.042,5.065,20.085,2.815,2,0.357,7
659,B2 LM,CRAWFORD,3074,47.914,0.033,4.815,20.915,2.848,2,0.321,7
660,B2 LM,CRAWFORD,3074.5,51.596,0.04,4.485,20.755,2.99,2,0.286,7
661,B2 LM,CRAWFORD,3075,62.89,0.102,4.42,17.02,3.474,2,0.25,7
662,B2 LM,CRAWFORD,3075.5,80.38,0.22,3.955,12.965,4.067,2,0.214,7
663,B2 LM,CRAWFORD,3076,105.725,0.347,2.42,7.33,4.271,2,0.179,6
664,B2 LM,CRAWFORD,3076.5,131.069,0.524,1.655,5.355,3.838,2,0.143,6
665,B2 LM,CRAWFORD,3077,145.018,0.636,-0.905,7.135,3.203,2,0.107,6
666,B2 LM,CRAWFORD,3077.5,131.376,0.726,-1.94,12.26,2.816,2,0.071,2
667,B3 SH,CRAWFORD,3078,110.21,0.792,0.27,14.14,2.678,2,0.036,4
668,B3 SH,CRAWFORD,3078.5,89.045,0.826,3.14,13.7,2.773,1,1,4
669,B3 SH,CRAWFORD,3079,73.807,0.808,4.795,11.855,3.371,1,0.944,4
670,B3 SH,CRAWFORD,3079.5,73.158,0.781,4.755,10.905,3.493,1,0.889,4
671,B3 SH,CRAWFORD,3080,73.195,0.763,3.975,10.205,3.432,1,0.833,4
672,B3 SH,CRAWFORD,3080.5,72.325,0.748,3.68,10,3.387,1,0.778,4
673,B3 SH,CRAWFORD,3081,71.221,0.742,3.33,9.69,3.374,1,0.722,4
674,B3 SH,CRAWFORD,3081.5,70.563,0.742,2.76,9.25,3.329,1,0.667,4
675,B3 SH,CRAWFORD,3082,71.519,0.733,1.75,10.04,3.145,1,0.611,2
676,B3 SH,CRAWFORD,3082.5,74.062,0.722,2.32,12.64,2.945,1,0.556,4
677,B3 SH,CRAWFORD,3083,77.061,0.71,2.765,15.055,2.776,1,0.5,4
678,B3 SH,CRAWFORD,3083.5,78.693,0.695,3.04,15.66,2.793,1,0.444,4
679,B3 SH,CRAWFORD,3084,79.192,0.683,2.505,14.075,2.951,1,0.389,4
680,B3 SH,CRAWFORD,3084.5,79.192,0.683,2.505,14.075,2.951,1,0.389,4
681,B3 SH,CRAWFORD,3085,78.999,0.662,2.395,12.335,2.984,1,0.333,2
682,B3 SH,CRAWFORD,3085.5,78.114,0.64,2.395,11.095,2.909,1,0.278,2
683,B3 SH,CRAWFORD,3086,77.246,0.625,2.705,12.075,2.708,1,0.222,2
684,B3 SH,CRAWFORD,3086.5,76.369,0.62,2.305,15.615,2.601,1,0.167,4
685,B3 SH,CRAWFORD,3087,72.301,0.633,0.98,21.27,2.759,1,0.111,3
686,B3 SH,CRAWFORD,3087.5,61.107,0.667,-1.74,21.21,3.849,1,0.056,2
687,B3 LM,CRAWFORD,3088,41.149,0.68,-2.295,18.875,4.854,2,1,9
688,B3 LM,CRAWFORD,3088.5,28.419,0.686,-0.92,14.54,5.036,2,0.938,9
689,B3 LM,CRAWFORD,3089,22.527,0.687,0.36,10.24,5.044,2,0.875,8
690,B3 LM,CRAWFORD,3089.5,18.459,0.684,2.27,8.16,4.931,2,0.813,8
691,B3 LM,CRAWFORD,3090,17.345,0.679,2.67,8.23,4.547,2,0.75,8
692,B3 LM,CRAWFORD,3090.5,17.617,0.676,2.855,8.725,4.328,2,0.688,8
693,B3 LM,CRAWFORD,3091,19.292,0.664,2.695,9.465,4.299,2,0.625,8
694,B3 LM,CRAWFORD,3091.5,21.572,0.655,2.535,9.705,4.301,2,0.563,8
695,B3 LM,CRAWFORD,3092,22.975,0.653,1.95,9.21,4.319,2,0.5,8
696,B3 LM,CRAWFORD,3092.5,23.922,0.65,1.34,8.59,4.305,2,0.438,8
697,B3 LM,CRAWFORD,3093,24.869,0.657,0.63,7.42,4.291,2,0.375,8
698,B3 LM,CRAWFORD,3093.5,27.64,0.669,0.42,6.02,4.216,2,0.313,6
699,B3 LM,CRAWFORD,3094,34.058,0.67,0.44,4.4,4.109,2,0.25,6
700,B3 LM,CRAWFORD,3094.5,41.489,0.652,1.11,4.03,3.815,2,0.188,6
701,B3 LM,CRAWFORD,3095,51.235,0.631,1.73,5.19,3.444,2,0.125,2
702,B4 SH,CRAWFORD,3095.5,55.601,0.61,2.42,7.82,3.146,2,0.063,2
703,B4 SH,CRAWFORD,3096,59.512,0.601,3.715,10.375,2.935,1,1,2
704,B4 SH,CRAWFORD,3096.5,62.055,0.598,4.13,12.01,2.844,1,0.95,2
705,B4 SH,CRAWFORD,3097,64.37,0.592,3.83,12.15,2.768,1,0.9,2
706,B4 SH,CRAWFORD,3097.5,65.773,0.587,3.32,11.31,2.708,1,0.85,2
707,B4 SH,CRAWFORD,3098,66.036,0.593,2.635,9.895,2.663,1,0.8,2
708,B4 SH,CRAWFORD,3098.5,64.712,0.597,2.65,9.32,2.616,1,0.75,2
709,B4 SH,CRAWFORD,3099,64.039,0.6,2.545,8.775,2.603,1,0.7,2
710,B4 SH,CRAWFORD,3099.5,64.332,0.61,2.57,8.69,2.589,1,0.65,2
711,B4 SH,CRAWFORD,3100,68.247,0.601,2.545,9.105,2.531,1,0.6,2
712,B4 SH,CRAWFORD,3100.5,75.809,0.583,2.99,10.63,2.486,1,0.55,2
713,B4 SH,CRAWFORD,3101,84.739,0.559,3.69,12.42,2.488,1,0.5,2
714,B4 SH,CRAWFORD,3101.5,95.768,0.541,4.595,14.775,2.52,1,0.45,4
715,B4 SH,CRAWFORD,3102,94.175,0.529,4.575,15.465,2.6,1,0.4,4
716,B4 SH,CRAWFORD,3102.5,89.427,0.529,4.575,15.555,2.788,1,0.35,3
717,B4 SH,CRAWFORD,3103,84.908,0.527,4.35,14.27,3.148,1,0.3,2
718,B4 SH,CRAWFORD,3103.5,81.3,0.53,3.17,11.82,3.103,1,0.25,2
719,B4 SH,CRAWFORD,3104,82.251,0.534,1.84,10.85,2.691,1,0.2,2
720,B4 SH,CRAWFORD,3104.5,83.203,0.568,0.12,16.21,2.235,1,0.15,2
721,B4 SH,CRAWFORD,3105,82.888,0.647,-0.305,24.225,2.113,1,0.1,3
722,B4 LM,CRAWFORD,3105.5,70.526,0.731,-3.475,31.335,2.301,1,0.05,3
723,B4 LM,CRAWFORD,3106,59.858,0.793,-2.585,25.825,3.329,2,1,3
724,B4 LM,CRAWFORD,3106.5,43.933,0.815,-2.425,18.585,4.233,2,0.944,9
725,B4 LM,CRAWFORD,3107,30.523,0.828,-0.505,13.435,4.53,2,0.889,9
726,B4 LM,CRAWFORD,3107.5,21.444,0.867,-0.83,7.75,4.734,2,0.833,8
727,B4 LM,CRAWFORD,3108,18.52,0.948,0.5,5.3,4.86,2,0.778,8
728,B4 LM,CRAWFORD,3108.5,20.668,1.034,0.725,4.655,4.986,2,0.722,8
729,B4 LM,CRAWFORD,3109,23.396,1.077,0.945,4.055,4.972,2,0.667,6
730,B4 LM,CRAWFORD,3109.5,25.716,1.112,1,3.38,4.974,2,0.611,6
731,B4 LM,CRAWFORD,3110,28.035,1.131,1.335,2.125,4.991,2,0.556,6
732,B4 LM,CRAWFORD,3110.5,31.494,1.128,1.565,1.855,5.024,2,0.5,6
733,B4 LM,CRAWFORD,3111,42.743,1.145,0.74,2.92,4.996,2,0.389,6
734,B4 LM,CRAWFORD,3111.5,47.021,1.158,0.415,2.815,4.874,2,0.333,6
735,B4 LM,CRAWFORD,3112,49.443,1.158,0.265,2.475,4.72,2,0.278,6
736,B4 LM,CRAWFORD,3112.5,48.343,1.072,0.175,2.025,4.435,2,0.222,6
737,B4 LM,CRAWFORD,3113,47.243,0.993,0.305,2.325,4.07,2,0.167,6
738,B4 LM,CRAWFORD,3113.5,47.738,0.936,0.625,3.575,3.745,2,0.111,6
739,B5 SH,CRAWFORD,3114,55.757,0.9,2.86,7.09,3.514,2,0.056,5
740,B5 SH,CRAWFORD,3114.5,67.815,0.876,4.345,9.295,3.406,1,1,4
741,B5 SH,CRAWFORD,3115,68.904,0.852,4.72,9.57,3.455,1,0.938,4
742,B5 SH,CRAWFORD,3115.5,64.085,0.834,3.905,7.665,3.565,1,0.875,4
743,B5 SH,CRAWFORD,3116,53.913,0.828,3.37,5.72,3.645,1,0.813,6
744,B5 SH,CRAWFORD,3116.5,50.715,0.841,2.665,4.465,3.615,1,0.75,6
745,B5 SH,CRAWFORD,3117,51.22,0.854,2.43,3.86,3.714,1,0.688,6
746,B5 SH,CRAWFORD,3119,65.99,0.794,3.075,6.985,3.5,1,0.438,2
747,B5 SH,CRAWFORD,3119.5,74.325,0.764,1.485,11.995,3.159,1,0.375,4
748,B5 SH,CRAWFORD,3120,77.227,0.718,1.095,15.315,2.865,1,0.313,4
749,B5 SH,CRAWFORD,3120.5,78.863,0.687,1.285,17.905,2.696,1,0.25,4
750,B5 SH,CRAWFORD,3121,79.13,0.669,2.755,19.325,2.651,1,0.188,4
751,B5 SH,CRAWFORD,3121.5,76.89,0.657,4.55,19.53,2.671,1,0.125,3
752,B5 LM,CRAWFORD,3122,69.179,0.692,6.11,19.22,3.114,1,0.063,2
753,B5 LM,CRAWFORD,3122.5,59.999,0.732,4.62,16.19,4.134,2,1,5
754,B5 LM,CRAWFORD,3123,41.912,0.761,1.64,10.98,4.726,2,0.983,6
755,B5 LM,CRAWFORD,3123.5,26.222,0.805,0.755,7.955,4.899,2,0.966,8
756,B5 LM,CRAWFORD,3124,22.615,0.845,1.58,6.02,4.854,2,0.948,8
757,B5 LM,CRAWFORD,3124.5,20.83,0.849,1.97,4.39,4.778,2,0.931,8
758,B5 LM,CRAWFORD,3125,21.326,0.836,2.77,4.39,4.655,2,0.914,8
759,B5 LM,CRAWFORD,3125.5,23.645,0.725,3.665,5.185,4.408,2,0.897,8
760,B5 LM,CRAWFORD,3126,29.02,0.587,4.805,7.455,3.97,2,0.879,8
761,B5 LM,CRAWFORD,3126.5,35.588,0.461,5.255,11.615,3.606,2,0.862,7
762,B5 LM,CRAWFORD,3127,39.503,0.325,5.335,18.395,3.309,2,0.845,7
763,B5 LM,CRAWFORD,3127.5,41.139,0.239,4.545,21.765,3.342,2,0.828,7
764,B5 LM,CRAWFORD,3128,41.862,0.184,2.77,21.54,3.422,2,0.81,7
765,B5 LM,CRAWFORD,3128.5,42.586,0.169,-0.02,19,3.485,2,0.793,7
766,B5 LM,CRAWFORD,3129,44.221,0.139,2.425,18.905,3.378,2,0.776,7
767,B5 LM,CRAWFORD,3129.5,47.395,0.121,3.7,20.04,3.209,2,0.759,7
768,B5 LM,CRAWFORD,3130,54.796,0.103,4.59,22.87,3.133,2,0.741,7
769,B5 LM,CRAWFORD,3130.5,58.255,0.091,5.19,25.77,3.166,2,0.724,7
770,B5 LM,CRAWFORD,3131,60.347,0.076,4.065,26.095,3.118,2,0.707,7
771,B5 LM,CRAWFORD,3131.5,61.754,0.048,3.235,25.165,3.06,2,0.69,7
772,B5 LM,CRAWFORD,3132,61.794,0.002,2.74,22.4,3.14,2,0.672,7
773,B5 LM,CRAWFORD,3132.5,61.833,-0.047,3.65,21.13,3.437,2,0.655,7
774,B5 LM,CRAWFORD,3133,62.358,-0.096,4.43,21.27,3.672,2,0.638,7
775,B5 LM,CRAWFORD,3133.5,63.062,-0.147,4.895,22.325,3.782,2,0.621,7
776,B5 LM,CRAWFORD,3134,63.33,-0.206,5.245,22.895,3.737,2,0.603,7
777,B5 LM,CRAWFORD,3134.5,62.685,-0.218,5.035,22.725,3.584,2,0.586,7
778,B5 LM,CRAWFORD,3135,60.217,-0.23,4.57,21.84,3.444,2,0.569,7
779,B5 LM,CRAWFORD,3135.5,55.926,-0.217,5.185,20.385,3.352,2,0.552,7
780,B5 LM,CRAWFORD,3136,52.318,-0.185,5.795,18.665,3.496,2,0.534,7
781,B5 LM,CRAWFORD,3136.5,47.244,-0.16,5.445,15.725,3.855,2,0.517,7
782,B5 LM,CRAWFORD,3137,45.786,-0.138,4.165,11.765,3.966,2,0.5,7
783,B5 LM,CRAWFORD,3137.5,46.975,-0.116,5.55,10.25,3.765,2,0.483,7
784,B5 LM,CRAWFORD,3138,51.907,-0.103,7.385,11.675,3.44,2,0.466,1
785,B5 LM,CRAWFORD,3138.5,58.336,-0.093,6.61,13.74,3.162,2,0.448,1
786,B5 LM,CRAWFORD,3139,64.995,-0.09,5.94,16.68,3.024,2,0.431,1
787,B5 LM,CRAWFORD,3139.5,67.543,-0.089,5.7,17.72,3.057,2,0.414,1
788,B5 LM,CRAWFORD,3140,68.041,-0.104,5.755,18.395,3.171,2,0.397,7
789,B5 LM,CRAWFORD,3140.5,66.186,-0.144,5.995,19.265,3.231,2,0.379,7
790,B5 LM,CRAWFORD,3141,62.184,-0.187,6.54,20.72,3.264,2,0.362,7
791,B5 LM,CRAWFORD,3141.5,57.883,-0.239,6,21.62,3.297,2,0.345,7
792,B5 LM,CRAWFORD,3142,54.039,-0.297,5.725,22.245,3.282,2,0.328,7
793,B5 LM,CRAWFORD,3142.5,53.154,-0.371,5.745,23.065,3.222,2,0.31,7
794,B5 LM,CRAWFORD,3143,60.506,-0.432,5.78,23.96,3.115,2,0.293,7
795,B5 LM,CRAWFORD,3143.5,68.99,-0.456,6.14,25.32,2.977,2,0.276,7
796,B5 LM,CRAWFORD,3144,88.891,-0.468,7.025,27.595,2.916,2,0.259,7
797,B5 LM,CRAWFORD,3144.5,114.955,-0.455,6.925,28.395,2.924,2,0.241,7
798,B5 LM,CRAWFORD,3145,139.876,-0.405,6.245,28.025,3.215,2,0.224,7
799,B5 LM,CRAWFORD,3145.5,157.729,-0.353,4.685,26.015,3.373,2,0.207,7
800,B5 LM,CRAWFORD,3146,167.803,-0.219,4.27,23.37,3.81,2,0.19,7
801,B5 LM,CRAWFORD,3146.5,151.183,-0.057,0.925,17.125,4.153,2,0.172,7
802,B5 LM,CRAWFORD,3147,123.264,0.067,0.285,14.215,4.404,2,0.155,7
803,B5 LM,CRAWFORD,3147.5,108.569,0.234,0.705,12.225,4.499,2,0.138,8
804,B5 LM,CRAWFORD,3148,101.072,0.427,1.15,10.76,4.392,2,0.121,8
805,B5 LM,CRAWFORD,3148.5,91.748,0.625,1.135,9.605,4.254,2,0.103,8
806,B5 LM,CRAWFORD,3149,83.794,0.749,2.075,7.845,4.023,2,0.086,8
807,B5 LM,CRAWFORD,3149.5,83.794,0.749,2.075,7.845,4.023,2,0.086,8
808,B5 LM,CRAWFORD,3150,79.722,0.771,2.89,6.64,4.04,2,0.069,4
809,B5 LM,CRAWFORD,3150.5,76.334,0.8,2.96,6.29,3.997,2,0.052,6
810,B5 LM,CRAWFORD,3151,73.631,0.8,2.68,6.69,3.828,2,0.034,4
811,B5 LM,CRAWFORD,3151.5,76.865,0.772,2.42,8.6,3.535,2,0.017,4
812,C SH,CRAWFORD,3152,79.924,0.752,2.62,11.51,3.148,1,1,4
813,C SH,CRAWFORD,3152.5,82.199,0.728,3.725,14.555,2.964,1,0.972,4
814,C SH,CRAWFORD,3153,79.953,0.7,5.61,16.93,2.793,1,0.944,4
815,C SH,CRAWFORD,3153.5,75.881,0.673,6.3,17.57,2.969,1,0.917,4
816,C SH,CRAWFORD,3154,67.47,0.652,4.775,15.795,3.282,1,0.889,4
817,C SH,CRAWFORD,3154.5,58.832,0.64,4.315,13.575,3.642,1,0.861,4
818,C SH,CRAWFORD,3155,57.946,0.631,3.595,11.305,3.893,1,0.833,4
819,C SH,CRAWFORD,3155.5,65.755,0.625,3.465,10.355,3.911,1,0.806,2
820,C SH,CRAWFORD,3156,69.445,0.617,3.39,11.54,3.82,1,0.778,2
821,C SH,CRAWFORD,3156.5,73.389,0.608,3.625,12.775,3.62,1,0.75,2
822,C SH,CRAWFORD,3157,77.115,0.605,4.14,13.42,3.467,1,0.722,4
823,C SH,CRAWFORD,3157.5,79.84,0.596,4.875,13.825,3.36,1,0.694,4
824,C SH,CRAWFORD,3158,82.616,0.577,5.235,14.845,3.207,1,0.667,4
825,C SH,CRAWFORD,3158.5,86.078,0.554,5.04,16.15,3.161,1,0.639,4
826,C SH,CRAWFORD,3159,88.855,0.539,5.56,16.75,3.118,1,0.611,4
827,C SH,CRAWFORD,3159.5,90.49,0.53,6.36,16.78,3.168,1,0.583,3
828,C SH,CRAWFORD,3160,90.975,0.522,7.035,16.995,3.154,1,0.556,3
829,C SH,CRAWFORD,3160.5,90.108,0.513,7.505,17.595,3.125,1,0.528,3
