Facies,GR,ILD_log10,DeltaPHI,PHIND,PE,RELPOS,Label_Form_SH_LM
2,98.36,0.642,-0.1,18.685,2.9,1.0,1
2,97.57,0.631,7.9,16.745,3.2,0.9840000000000001,1
2,98.41,0.615,12.8,14.105,3.2,0.968,1
2,85.92,0.597,13.0,13.385,3.4,0.9520000000000001,1
2,83.16,0.5920000000000001,12.3,13.345,3.4,0.935,1
2,82.56,0.599,12.9,13.105,3.5,0.919,1
2,83.12,0.611,13.2,14.0,3.3,0.903,1
2,84.26,0.62,12.8,13.685,3.3,0.887,1
2,86.29,0.627,13.2,13.92,3.2,0.871,1
2,80.95,0.629,13.0,13.975,3.2,0.855,1
2,79.07,0.629,13.0,14.235,3.2,0.8390000000000001,1
2,75.31,0.626,11.4,13.17,3.2,0.823,1
2,69.3,0.625,10.1,12.32,3.0,0.8059999999999999,1
2,69.16,0.626,9.0,11.805,3.0,0.79,1
2,69.03,0.624,10.0,11.72,3.2,0.774,1
2,64.95,0.622,10.1,11.75,3.4,0.758,1
2,78.95,0.607,12.0,12.155,3.4,0.742,1
2,82.36,0.58,11.7,12.955,3.2,0.726,1
2,80.27,0.5429999999999999,11.1,12.865,3.1,0.71,1
2,78.87,0.507,8.5,12.23,2.9,0.6940000000000001,1
2,66.38,0.473,6.2,11.89,2.8,0.677,1
1,58.63,0.444,4.4,12.44,2.7,0.6609999999999999,1
1,59.16,0.413,3.7,13.64,2.6,0.645,1
1,52.86,0.37799999999999995,2.5,14.49,2.6,0.629,1
1,54.32,0.344,1.1,15.085,2.6,0.613,1
1,53.27,0.32,-0.3,14.985,2.7,0.597,1
1,52.34,0.312,-0.1,14.945,2.7,0.581,1
1,58.01,0.31,0.9,15.055,2.7,0.565,1
1,55.38,0.307,1.6,15.28,2.8,0.5479999999999999,1
1,55.18,0.301,1.7,15.905,2.8,0.532,1
1,55.09,0.292,0.8,16.485,2.8,0.516,1
1,58.89,0.28800000000000003,0.3,17.33,2.7,0.5,1
1,56.51,0.294,-0.5,17.77,2.7,0.484,1
1,57.27,0.31,-0.1,17.9,2.8,0.46799999999999997,1
1,58.42,0.32799999999999996,0.3,17.97,2.8,0.452,1
1,58.99,0.34600000000000003,0.9,18.3,2.7,0.435,1
1,59.99,0.36700000000000005,1.5,19.49,2.5,0.419,1
1,62.66,0.389,1.7,20.135,2.4,0.40299999999999997,1
1,60.46,0.408,2.1,20.495,2.3,0.387,1
1,60.85,0.415,1.1,20.34,2.3,0.371,1
1,63.8,0.408,1.1,20.015,2.4,0.355,1
1,63.82,0.387,1.0,19.615,2.4,0.33899999999999997,1
1,66.97,0.36700000000000005,0.3,19.01,2.4,0.32299999999999995,1
1,69.67,0.36200000000000004,-0.2,18.66,2.5,0.306,1
1,70.72,0.36700000000000005,1.1,17.45,2.6,0.29,1
1,85.75,0.377,5.1,18.705,2.6,0.27399999999999997,1
1,89.58,0.389,8.5,19.555,2.6,0.258,1
2,87.45,0.396,6.0,20.265,2.6,0.242,1
2,84.45,0.405,3.2,16.485,2.8,0.226,1
1,71.4,0.415,2.2,12.965,3.0,0.21,1
1,70.13,0.423,4.0,11.34,2.9,0.19399999999999998,1
1,70.92,0.428,4.5,12.33,2.8,0.177,1
1,68.34,0.42700000000000005,4.7,13.295,2.7,0.161,1
1,76.04,0.42200000000000004,7.1,16.445,2.6,0.145,1
1,89.18,0.41200000000000003,9.1,24.17,2.4,0.129,1
2,86.72,0.396,7.6,28.165,2.4,0.113,1
2,73.95,0.384,3.9,26.97,2.5,0.09699999999999999,1
2,59.22,0.382,2.1,20.215,3.0,0.081,1
2,70.19,0.389,4.4,16.27,3.2,0.065,1
2,71.73,0.423,18.6,22.62,2.5,0.048,1
2,75.15,0.494,16.4,33.13,2.1,0.032,1
3,75.28,0.5720000000000001,1.7,36.13,1.9,0.016,1
3,46.04,0.645,-17.8,28.075,2.3,0.01,1
8,46.04,0.645,-17.8,28.075,2.3,1.0,2
8,26.73,0.748,-9.0,9.105,5.0,0.953,2
8,36.5,0.794,0.1,5.945,4.5,0.93,2
8,52.24,0.867,4.2,7.395,4.1,0.907,2
6,61.32,0.925,9.4,8.825,3.6,0.884,2
6,56.15,0.965,12.2,8.85,3.5,0.86,2
6,55.07,0.985,10.9,7.225,3.6,0.8370000000000001,2
6,64.81,0.9740000000000001,7.7,5.565,3.7,0.8140000000000001,2
6,87.83,0.9520000000000001,4.6,4.495,4.1,0.7909999999999999,2
6,88.06,0.956,2.5,4.19,4.7,0.767,2
6,75.07,0.971,0.8,4.695,5.2,0.7440000000000001,2
6,65.29,1.0090000000000001,1.4,5.175,5.4,0.721,2
6,74.26,1.064,4.3,6.455,5.1,0.698,2
6,73.01,1.102,5.3,7.235,4.7,0.674,2
8,64.61,1.121,4.4,7.765,4.7,0.6509999999999999,2
8,40.57,1.125,1.7,7.655,4.7,0.628,2
8,30.41,1.109,-0.2,7.95,4.8,0.605,2
8,22.91,1.115,-1.4,7.585,4.7,0.581,2
8,24.62,1.13,-2.1,6.74,4.9,0.5579999999999999,2
8,25.02,1.124,-2.4,5.865,4.9,0.535,2
8,27.77,1.097,-2.0,5.575,4.9,0.512,2
6,37.24,1.069,1.1,6.59,4.7,0.488,2
6,65.59,1.028,4.9,8.1,4.5,0.465,2
6,87.34,0.9890000000000001,8.7,9.485,4.0,0.442,2
6,79.54,0.96,10.0,10.025,4.0,0.419,2
6,79.63,0.937,10.7,10.155,3.9,0.395,2
6,75.6,0.907,6.7,8.985,4.0,0.349,2
6,52.75,0.9179999999999999,1.9,8.955,3.6,0.326,2
6,45.65,0.946,-2.7,9.75,3.8,0.302,2
6,51.75,0.993,-4.6,9.235,4.0,0.27899999999999997,2
6,53.57,1.05,-4.6,7.61,4.8,0.256,2
6,60.94,1.107,-2.1,5.46,4.8,0.233,2
6,71.14,1.135,-1.1,4.55,4.9,0.209,2
6,85.69,1.133,0.1,3.965,5.0,0.18600000000000003,2
6,73.63,1.094,0.8,3.9,4.8,0.163,2
6,66.27,1.0290000000000001,1.9,4.185,4.6,0.14,2
6,81.99,0.956,3.5,5.795,4.3,0.11599999999999999,2
6,93.29,0.9079999999999999,6.6,8.635,3.7,0.09300000000000001,2
6,105.48,0.867,8.5,13.285,3.3,0.07,2
4,100.58,0.8170000000000001,6.2,16.07,3.2,0.047,2
3,76.2,0.688,3.9,16.375,2.8,1.0,1
3,72.8,0.626,-14.8,30.425,2.4,0.98,1
3,72.87,0.5820000000000001,-19.0,39.125,2.1,0.9590000000000001,1
3,72.37,0.5529999999999999,-16.2,45.275,2.0,0.9390000000000001,1
3,78.74,0.531,-8.6,44.37,2.1,0.9179999999999999,1
3,79.41,0.513,-10.2,43.805,2.2,0.898,1
3,83.27,0.493,-6.5,39.435,2.6,0.878,1
3,85.55,0.48,0.2,34.29,2.6,0.857,1
3,87.65,0.47700000000000004,6.5,33.645,2.5,0.8370000000000001,1
3,85.37,0.486,-1.7,35.66,2.3,0.816,1
3,82.87,0.515,-4.1,36.645,2.5,0.7959999999999999,1
3,81.99,0.5670000000000001,-3.2,32.775,2.3,0.7759999999999999,1
3,78.95,0.625,-7.9,31.68,2.4,0.755,1
3,72.05,0.684,-14.4,28.625,2.3,0.735,1
3,71.81,0.736,-14.8,24.055,3.4,0.7140000000000001,1
3,57.61,0.772,2.6,12.49,4.2,0.6940000000000001,1
3,54.12,0.809,7.8,8.38,4.2,0.6729999999999999,1
3,53.58,0.863,6.8,8.2,4.2,0.653,1
3,61.12,0.9009999999999999,7.1,8.695,4.0,0.633,1
3,61.73,0.9159999999999999,8.0,9.35,4.0,0.612,1
3,62.92,0.9209999999999999,8.4,9.06,3.8,0.5920000000000001,1
2,66.91,0.912,6.2,8.57,3.6,0.5710000000000001,1
2,66.22,0.893,4.0,7.775,3.4,0.551,1
1,62.81,0.8740000000000001,2.5,7.255,3.3,0.531,1
1,60.15,0.852,1.3,7.185,3.2,0.51,1
1,53.38,0.8190000000000001,-0.1,7.125,3.3,0.49,1
1,54.04,0.774,1.1,7.255,3.3,0.469,1
1,55.65,0.732,2.1,8.18,3.2,0.449,1
1,56.33,0.6990000000000001,3.0,9.33,3.0,0.429,1
1,55.76,0.667,1.8,10.295,3.0,0.408,1
1,56.24,0.629,1.7,10.175,3.1,0.38799999999999996,1
1,52.72,0.59,2.2,9.88,3.2,0.36700000000000005,1
1,58.18,0.551,2.5,10.15,3.2,0.34700000000000003,1
1,58.55,0.519,2.5,11.1,3.3,0.327,1
1,58.18,0.493,1.5,11.88,3.5,0.306,1
1,58.5,0.467,2.1,12.195,3.5,0.28600000000000003,1
1,59.23,0.446,2.3,13.045,3.3,0.265,1
1,57.02,0.43,3.1,13.625,2.9,0.245,1
1,56.18,0.425,2.3,14.215,2.8,0.22399999999999998,1
1,61.06,0.425,1.4,13.465,2.7,0.204,1
1,68.79,0.433,1.9,13.145,2.9,0.184,1
1,71.58,0.449,7.0,14.36,3.0,0.163,1
1,79.53,0.47100000000000003,8.1,17.515,2.6,0.14300000000000002,1
3,80.39,0.491,2.7,20.055,2.5,0.122,1
3,79.08,0.508,-4.0,19.3,2.4,0.102,1
3,78.83,0.517,-4.1,15.79,3.1,0.08199999999999999,1
3,78.07,0.526,4.6,14.23,2.5,0.061,1
3,83.28,0.55,1.2,25.065,2.1,0.040999999999999995,1
3,76.44,0.597,-19.9,49.715,1.8,0.02,1
8,39.3,0.8029999999999999,-7.5,16.885,3.6,0.769,2
8,28.1,0.88,-2.4,10.105,3.6,0.6920000000000001,2
8,28.38,1.002,-4.3,7.285,3.9,0.615,2
8,27.36,1.161,-3.0,5.12,3.9,0.5379999999999999,2
8,30.42,1.291,0.2,4.05,3.8,0.462,2
6,32.31,1.311,2.5,3.865,4.0,0.385,2
6,33.19,1.213,1.7,4.915,4.4,0.308,2
6,37.18,1.051,1.6,5.02,4.8,0.231,2
6,37.32,0.888,1.4,5.46,3.3,0.154,2
6,39.77,0.7809999999999999,-2.5,13.875,2.4,0.077,2
3,45.45,0.732,-15.7,31.775,1.8,1.0,1
3,69.72,0.7020000000000001,-19.0,38.6,1.5,0.971,1
2,78.06,0.6679999999999999,-13.9,28.955,2.4,0.912,1
2,78.18,0.643,-7.2,21.33,3.0,0.882,1
2,78.8,0.638,0.8,12.435,3.1,0.853,1
2,73.13,0.667,2.6,9.145,3.3,0.8240000000000001,1
2,66.19,0.7,3.0,8.185,3.3,0.794,1
2,67.14,0.727,3.8,8.49,3.3,0.765,1
2,66.86,0.746,6.2,9.41,3.2,0.735,1
2,67.83,0.747,8.8,10.57,3.1,0.706,1
2,66.01,0.726,10.4,11.44,3.2,0.6759999999999999,1
2,63.89,0.698,10.4,11.56,3.2,0.647,1
2,62.15,0.67,9.0,11.04,3.5,0.618,1
2,63.38,0.637,9.2,10.57,3.5,0.588,1
2,62.83,0.617,9.6,10.765,3.6,0.5589999999999999,1
2,62.75,0.616,11.2,10.75,3.6,0.529,1
2,59.66,0.617,11.2,10.465,3.8,0.5,1
2,67.99,0.625,14.3,11.855,3.7,0.47100000000000003,1
2,67.75,0.645,13.2,18.745,2.9,0.441,1
3,76.63,0.6759999999999999,1.3,28.06,2.5,0.41200000000000003,1
3,78.56,0.705,-6.0,27.415,2.0,0.382,1
3,69.82,0.736,-11.1,21.085,2.8,0.353,1
2,63.21,0.767,0.3,9.5,3.5,0.324,1
2,56.18,0.799,2.0,5.64,3.6,0.294,1
2,60.86,0.7979999999999999,2.6,6.47,3.5,0.17600000000000002,1
2,67.52,0.7120000000000001,5.3,9.15,3.2,0.147,1
2,68.79,0.619,11.5,17.22,2.8,0.11800000000000001,1
3,76.18,0.54,1.2,32.92,2.4,0.08800000000000001,1
3,74.5,0.486,-2.1,38.485,2.2,0.059000000000000004,1
3,63.06,0.46399999999999997,-4.1,36.14,2.5,0.028999999999999998,1
6,40.97,0.47,2.2,25.745,3.2,1.0,2
6,35.02,0.48100000000000004,2.2,17.06,3.5,0.857,2
6,30.28,0.498,-1.7,10.485,4.1,0.7140000000000001,2
6,27.63,0.524,-3.1,5.835,4.8,0.5710000000000001,2
6,28.84,0.5670000000000001,-1.3,3.865,4.7,0.429,2
6,34.92,0.643,1.9,4.385,4.0,0.28600000000000003,2
6,46.06,0.732,5.2,6.805,3.5,0.14300000000000002,2
3,60.36,0.7929999999999999,9.5,9.275,3.4,1.0,1
3,79.94,0.804,12.1,10.99,3.3,0.977,1
3,81.32,0.779,13.0,11.5,3.5,0.955,1
3,80.39,0.738,10.7,10.86,3.5,0.932,1
3,77.93,0.7020000000000001,8.6,10.29,3.4,0.909,1
3,75.73,0.679,6.8,9.89,3.3,0.8859999999999999,1
2,66.0,0.669,6.5,9.98,3.3,0.8640000000000001,1
2,74.79,0.6659999999999999,5.8,9.985,3.5,0.841,1
2,64.77,0.665,4.6,9.89,3.6,0.818,1
2,62.9,0.659,3.9,10.335,3.5,0.795,1
2,64.65,0.6459999999999999,4.8,11.02,3.3,0.773,1
2,63.61,0.625,6.2,11.625,3.0,0.75,1
3,79.7,0.591,6.8,11.865,2.8,0.727,1
3,80.43,0.544,6.1,11.935,2.8,0.705,1
3,78.5,0.498,7.3,12.61,2.7,0.682,1
2,67.3,0.456,8.3,14.11,2.7,0.659,1
2,64.18,0.418,7.6,15.635,2.7,0.636,1
2,55.59,0.387,6.5,16.275,2.6,0.614,1
2,61.6,0.36200000000000004,5.1,16.055,2.7,0.591,1
2,59.33,0.34600000000000003,5.8,15.965,2.7,0.568,1
2,63.11,0.348,6.4,15.65,2.8,0.545,1
2,62.47,0.358,7.7,15.31,3.0,0.523,1
2,69.97,0.358,7.7,14.55,3.1,0.5,1
2,71.32,0.358,8.0,14.36,3.3,0.47700000000000004,1
2,71.32,0.358,8.0,14.36,3.3,0.47700000000000004,1
2,72.08,0.358,8.6,14.54,3.1,0.455,1
2,72.65,0.35600000000000004,9.8,15.115,2.9,0.43200000000000005,1
2,69.38,0.354,8.1,15.995,2.7,0.409,1
2,63.68,0.348,5.7,17.015,2.7,0.386,1
2,63.96,0.32799999999999996,5.1,17.755,2.6,0.364,1
2,61.06,0.305,4.9,18.465,2.6,0.341,1
2,68.77,0.28600000000000003,5.3,19.315,2.5,0.318,1
2,69.94,0.27399999999999997,5.0,20.22,2.6,0.295,1
1,68.94,0.27,4.6,20.435,2.6,0.273,1
1,68.13,0.27899999999999997,3.8,20.185,2.7,0.25,1
1,69.83,0.301,3.1,19.13,2.6,0.22699999999999998,1
1,69.72,0.326,2.3,18.115,2.6,0.205,1
1,79.64,0.35,3.0,16.33,2.7,0.182,1
2,83.41,0.36700000000000005,5.6,14.845,3.0,0.159,1
3,85.63,0.386,7.6,14.515,2.6,0.136,1
3,88.6,0.41200000000000003,5.2,18.02,2.5,0.114,1
3,81.3,0.45299999999999996,-5.5,25.095,2.2,0.091,1
3,81.46,0.505,-12.1,35.24,2.0,0.068,1
2,67.06,0.607,-13.2,25.315,3.2,0.9790000000000001,1
2,63.21,0.607,-0.6,16.415,3.1,0.958,1
2,62.1,0.607,0.7,15.25,2.9,0.938,1
1,59.12,0.599,-1.9,15.465,2.8,0.917,1
1,53.43,0.58,1.5,12.685,2.9,0.8959999999999999,1
1,55.43,0.556,3.9,11.32,3.0,0.875,1
1,50.01,0.528,2.1,12.39,3.0,0.8540000000000001,1
1,54.96,0.493,1.2,12.93,2.9,0.833,1
1,56.29,0.456,0.7,13.1,2.8,0.813,1
1,57.56,0.425,1.3,13.6,2.9,0.792,1
1,59.71,0.396,0.8,13.875,2.9,0.7709999999999999,1
1,59.88,0.371,1.2,14.2,2.9,0.75,1
1,62.44,0.35200000000000004,1.5,14.5,2.7,0.7290000000000001,1
1,65.13,0.342,1.4,15.285,2.7,0.708,1
1,60.4,0.33799999999999997,1.2,15.91,2.7,0.688,1
1,63.4,0.34600000000000003,0.1,15.585,2.8,0.667,1
1,65.4,0.358,1.4,14.44,2.8,0.6459999999999999,1
1,60.44,0.371,3.0,13.57,2.9,0.625,1
1,71.83,0.384,5.6,13.74,2.8,0.604,1
1,78.1,0.389,7.1,14.31,2.8,0.583,1
1,82.34,0.386,7.7,14.44,2.7,0.563,1
1,85.94,0.384,7.7,14.25,2.7,0.542,1
1,71.56,0.38,8.2,14.51,2.7,0.521,1
1,69.26,0.373,7.2,15.655,2.7,0.5,1
1,65.79,0.365,6.0,16.385,2.8,0.479,1
1,58.76,0.354,3.5,16.94,2.7,0.45799999999999996,1
1,60.11,0.342,1.3,17.025,2.6,0.43799999999999994,1
1,62.0,0.344,0.3,17.325,2.6,0.41700000000000004,1
1,61.56,0.354,0.6,17.815,2.8,0.396,1
1,58.39,0.36200000000000004,1.3,18.575,2.7,0.375,1
1,62.03,0.36200000000000004,-0.8,18.52,2.6,0.354,1
1,58.92,0.348,-1.6,17.575,2.6,0.33299999999999996,1
1,62.43,0.324,-0.2,16.275,2.6,0.313,1
1,63.32,0.292,4.0,16.375,2.7,0.292,1
1,64.42,0.262,5.9,17.115,2.8,0.271,1
2,63.11,0.243,5.9,18.435,2.8,0.25,1
2,63.11,0.243,5.9,18.435,2.8,0.25,1
2,68.73,0.23600000000000002,4.7,18.565,2.8,0.22899999999999998,1
2,68.82,0.243,3.7,18.135,3.0,0.20800000000000002,1
2,63.27,0.258,3.9,16.665,3.1,0.188,1
2,63.95,0.27899999999999997,5.0,15.155,3.3,0.16699999999999998,1
2,73.72,0.301,7.0,13.77,3.2,0.146,1
2,70.47,0.324,8.1,14.83,2.4,0.125,1
3,78.62,0.354,0.5,24.675,2.1,0.10400000000000001,1
3,81.91,0.39799999999999996,-9.6,35.2,1.9,0.083,1
3,77.68,0.45899999999999996,-6.8,44.645,1.9,0.063,1
3,74.51,0.5379999999999999,-7.4,51.805,2.0,0.042,1
3,66.9,0.605,-13.0,46.795,2.0,0.021,1
6,26.06,0.725,-12.9,16.17,4.4,0.857,2
6,20.73,0.7959999999999999,3.7,4.785,4.1,0.7140000000000001,2
6,18.4,0.8759999999999999,7.6,4.555,3.7,0.5710000000000001,2
6,20.07,0.941,9.7,6.745,3.3,0.429,2
6,20.85,0.903,7.7,9.415,3.4,0.28600000000000003,2
6,24.51,0.809,4.3,11.98,2.5,0.14300000000000002,2
3,37.82,0.722,-0.1,19.085,2.2,1.0,1
3,79.36,0.47,-6.0,35.77,2.4,0.45,1
3,78.41,0.46799999999999997,-6.4,33.73,2.6,0.4,1
3,70.0,0.45299999999999996,-8.4,31.445,2.6,0.35,1
3,67.67,0.43,-9.9,31.45,2.7,0.3,1
3,67.38,0.391,-7.6,30.565,2.6,0.25,1
3,70.08,0.34,-2.9,33.215,2.5,0.2,1
3,72.4,0.29,-0.2,39.915,2.3,0.15,1
3,70.73,0.24100000000000002,-4.0,41.445,2.3,0.1,1
3,65.14,0.193,-1.9,37.005,2.6,0.05,1
7,52.05,0.152,5.9,29.525,2.9,1.0,2
7,30.56,0.121,12.2,27.265,3.0,0.958,2
7,25.47,0.09699999999999999,10.8,27.915,3.0,0.917,2
7,25.34,0.09300000000000001,6.4,27.115,3.0,0.875,2
7,31.3,0.111,3.8,26.515,3.0,0.833,2
7,45.23,0.146,3.6,24.38,3.0,0.792,2
7,53.09,0.196,4.7,22.525,3.0,0.75,2
7,53.66,0.255,2.1,19.515,3.1,0.708,2
7,48.3,0.318,-1.1,16.71,3.4,0.667,2
8,47.58,0.386,-1.3,14.275,4.0,0.625,2
8,44.54,0.456,0.5,12.48,4.2,0.583,2
8,45.57,0.531,1.6,11.42,4.3,0.542,2
8,49.17,0.607,1.0,10.82,4.3,0.5,2
8,58.97,0.68,0.6,10.535,4.4,0.45799999999999996,2
8,78.86,0.7440000000000001,0.7,10.32,4.6,0.41700000000000004,2
8,100.24,0.797,1.4,10.38,4.7,0.375,2
8,97.94,0.8420000000000001,0.8,10.56,4.8,0.33299999999999996,2
8,94.67,0.8809999999999999,-0.5,10.57,4.7,0.292,2
8,78.63,0.914,-1.0,10.18,4.7,0.25,2
8,97.99,0.932,-1.9,9.31,4.7,0.20800000000000002,2
8,130.86,0.9209999999999999,-2.5,8.1,4.9,0.16699999999999998,2
8,167.9,0.883,-0.8,6.22,4.5,0.125,2
8,191.7,0.8220000000000001,4.2,5.195,3.8,0.083,2
3,149.65,0.711,-5.9,24.32,2.3,1.0,1
3,75.83,0.5710000000000001,-9.4,34.61,2.8,0.93,1
3,66.28,0.56,2.5,28.99,2.7,0.912,1
3,69.44,0.5670000000000001,-0.2,27.455,2.6,0.895,1
3,69.67,0.584,-1.6,24.68,2.6,0.877,1
3,72.32,0.609,-2.1,21.265,2.9,0.86,1
3,72.26,0.634,5.3,16.795,3.2,0.8420000000000001,1
3,66.6,0.652,8.9,13.99,3.3,0.825,1
3,66.67,0.659,10.7,14.42,3.2,0.807,1
3,67.49,0.6609999999999999,9.3,15.755,3.2,0.789,1
3,69.17,0.657,6.3,17.91,3.0,0.772,1
3,67.63,0.649,6.3,17.22,3.2,0.754,1
3,74.65,0.639,7.1,16.125,3.1,0.737,1
3,69.34,0.626,6.4,16.405,3.1,0.7190000000000001,1
3,67.71,0.616,3.6,17.57,2.9,0.7020000000000001,1
3,69.85,0.61,2.9,18.53,3.0,0.684,1
3,72.99,0.606,6.6,17.785,3.0,0.667,1
3,72.73,0.605,3.5,21.265,2.8,0.649,1
3,71.24,0.606,-3.0,23.97,2.8,0.632,1
3,65.18,0.607,-1.1,24.32,3.3,0.614,1
3,76.51,0.61,3.1,23.925,3.3,0.596,1
3,72.51,0.615,0.3,27.215,3.1,0.579,1
3,73.66,0.622,-8.0,30.125,2.7,0.561,1
3,72.96,0.627,-12.3,29.985,2.5,0.544,1
3,66.05,0.628,-9.4,26.215,2.8,0.526,1
3,75.61,0.624,-1.1,21.255,3.1,0.509,1
3,68.69,0.621,6.8,16.645,3.3,0.491,1
3,67.49,0.621,5.2,17.925,3.0,0.474,1
3,71.32,0.62,2.0,18.325,2.9,0.456,1
3,69.16,0.616,3.5,16.405,3.1,0.439,1
3,72.18,0.611,5.7,15.525,3.3,0.42100000000000004,1
3,67.16,0.606,4.4,16.48,3.2,0.40399999999999997,1
3,72.36,0.606,1.5,18.61,3.2,0.386,1
3,76.08,0.614,0.8,19.615,3.1,0.368,1
3,75.85,0.626,1.8,21.045,2.9,0.35100000000000003,1
3,72.11,0.633,-3.6,22.505,2.7,0.33299999999999996,1
3,73.8,0.635,-9.0,22.545,2.9,0.316,1
3,71.57,0.636,-5.1,17.625,3.3,0.298,1
3,71.38,0.629,1.0,14.06,3.6,0.281,1
3,72.44,0.622,6.2,14.855,3.1,0.263,1
3,74.87,0.622,5.8,19.845,2.8,0.24600000000000002,1
3,76.01,0.621,-2.7,23.955,2.4,0.228,1
3,76.11,0.618,-9.0,25.4,3.0,0.21100000000000002,1
3,76.47,0.624,-3.5,24.095,3.3,0.193,1
3,70.18,0.628,-5.4,24.15,3.2,0.175,1
3,71.13,0.623,-10.2,24.425,2.9,0.158,1
3,74.62,0.612,-13.2,21.35,2.9,0.14,1
3,75.04,0.597,-3.6,17.66,2.9,0.12300000000000001,1
3,71.03,0.5760000000000001,7.1,16.71,2.5,0.105,1
3,79.47,0.575,-9.8,35.285,2.1,0.08800000000000001,1
3,76.72,0.603,-9.9,51.3,1.8,0.07,1
3,75.01,0.654,-18.3,55.915,1.8,0.053,1
6,19.52,0.7,1.0,9.78,4.6,0.985,2
8,28.87,0.721,8.8,9.73,4.0,0.97,2
8,29.43,0.7809999999999999,9.1,11.93,3.6,0.955,2
8,29.4,0.825,7.9,12.695,3.5,0.94,2
8,31.05,0.8370000000000001,6.4,11.9,3.6,0.925,2
8,35.29,0.818,6.4,10.875,3.7,0.91,2
5,32.75,0.778,3.5,9.39,3.8,0.8959999999999999,2
5,35.61,0.738,3.0,8.16,3.9,0.8809999999999999,2
5,36.27,0.705,5.0,7.4,3.6,0.866,2
5,36.51,0.67,7.7,8.56,3.2,0.851,2
5,35.86,0.633,8.6,10.67,2.9,0.836,2
7,33.77,0.599,8.1,12.535,2.9,0.821,2
7,28.53,0.5670000000000001,7.7,13.935,2.9,0.8059999999999999,2
7,29.12,0.539,6.0,14.68,2.9,0.7909999999999999,2
7,29.54,0.519,4.2,14.81,2.8,0.7759999999999999,2
7,29.95,0.516,2.4,13.68,2.8,0.7609999999999999,2
7,29.36,0.529,1.7,12.36,3.0,0.746,2
7,34.62,0.5579999999999999,1.9,10.51,3.3,0.731,2
7,32.74,0.605,2.0,9.08,3.3,0.716,2
6,38.04,0.6659999999999999,1.7,8.405,3.2,0.701,2
6,39.18,0.728,1.5,8.235,3.2,0.687,2
6,39.55,0.792,1.9,8.035,3.3,0.672,2
6,37.83,0.846,2.3,7.68,3.4,0.657,2
6,35.09,0.884,2.8,7.775,3.4,0.642,2
6,38.17,0.905,3.8,7.92,3.6,0.627,2
6,37.4,0.9129999999999999,3.9,8.16,3.3,0.612,2
6,36.2,0.9129999999999999,2.6,8.54,3.4,0.597,2
6,38.73,0.91,2.4,8.6,3.4,0.5820000000000001,2
6,36.86,0.9079999999999999,1.9,8.9,3.5,0.5670000000000001,2
6,38.24,0.905,2.0,8.845,3.4,0.552,2
6,36.1,0.9009999999999999,1.6,8.5,3.4,0.537,2
6,38.5,0.897,2.6,8.25,3.3,0.522,2
6,35.87,0.89,3.0,8.42,3.4,0.507,2
6,37.2,0.884,3.6,8.495,3.3,0.493,2
6,39.89,0.88,3.1,8.695,3.6,0.478,2
6,40.73,0.8759999999999999,2.9,8.505,3.7,0.46299999999999997,2
6,41.81,0.873,2.0,8.845,3.7,0.44799999999999995,2
6,44.47,0.872,1.9,8.74,3.5,0.433,2
6,43.87,0.87,1.9,8.715,3.4,0.418,2
6,47.4,0.872,2.4,8.375,3.5,0.40299999999999997,2
6,48.75,0.875,2.6,8.47,3.6,0.38799999999999996,2
6,53.77,0.877,3.1,8.2,3.6,0.373,2
6,65.61,0.88,3.2,8.555,3.7,0.358,2
5,79.98,0.884,3.0,8.435,3.8,0.34299999999999997,2
5,115.6,0.885,3.6,8.76,3.9,0.32799999999999996,2
5,201.75,0.887,3.9,8.645,4.1,0.313,2
5,242.75,0.889,4.9,8.42,4.1,0.299,2
5,238.02,0.893,5.1,8.515,4.3,0.284,2
5,215.23,0.899,5.7,8.31,4.2,0.26899999999999996,2
5,168.12,0.907,5.6,8.545,4.2,0.254,2
5,124.8,0.919,5.2,8.855,3.9,0.239,2
5,102.74,0.932,4.6,8.915,4.0,0.22399999999999998,2
5,102.74,0.932,4.6,8.915,4.0,0.22399999999999998,2
5,81.37,0.941,4.3,8.86,4.1,0.209,2
5,70.46,0.943,4.2,8.675,4.2,0.19399999999999998,2
5,67.29,0.943,4.9,9.365,4.1,0.179,2
5,67.61,0.9390000000000001,5.6,9.555,4.1,0.16399999999999998,2
4,68.63,0.941,5.8,9.585,4.1,0.149,2
4,68.45,0.9570000000000001,6.9,9.95,4.3,0.134,2
4,73.25,0.996,8.4,10.39,4.4,0.11900000000000001,2
4,73.21,1.0390000000000001,7.7,9.95,4.5,0.10400000000000001,2
8,76.24,1.084,4.0,7.9,4.6,0.09,2
8,52.57,1.1179999999999999,-0.4,5.215,4.8,0.075,2
8,32.84,1.12,-2.2,3.455,5.1,0.06,2
8,25.16,1.112,-1.6,2.89,4.8,0.045,2
8,25.16,1.112,-1.6,2.89,4.8,0.03,2
4,26.22,1.092,-0.4,3.4,4.5,0.03,2
4,65.36,1.026,1.6,4.715,4.5,0.015,2
